ID,VIN,DEVICE_ID,DATA_SOURCE,MANUFACTURER,MAKE,MODEL,MODEL_YEAR,TRIM,FLEET_UNIT_ID,ENROLLMENT_STATUS,LATEST_ENROLLMENT_TIMESTAMP,ORG_ID,ORG_NAME,LICENSE_PLATE,LICENSE_PLATE_STATE,CUSTOM_DATA
6e750a2e-1a29-4cca-b962-1ba088f9770e,7SAYGDEE0NF359838,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0086,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
e4ebb7e0-f8ef-4ba9-8040-07c141412eba,7SAYGDEE0NF359869,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0087,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
e5d270b6-f6fa-4aff-b24b-517c8b7ee093,7SAYGDEE0NF359872,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0088,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
e84e26f5-a8fb-48cb-9b52-c1f2e4d9365e,5YJYGAEE6MF191598,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,359C,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
d1a9dc10-846d-4a74-832f-49edbfbe1885,7SAYGAEE8NF360069,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0068,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
e24697e0-0527-4b2d-906d-58fc9e914109,7SAYGAEE7NF360080,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0064,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
25e75f06-6ed6-4021-98cb-d8f5e62ebc15,7SAYGDEE0NF360195,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0089,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
2a5287aa-78a3-434b-bde7-9a8847ca65b8,7SAYGDEE0NF360228,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0090,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
cf8812ba-ddda-41f3-a557-e7ded40709de,7SAYGAEE6NF360975,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0063,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
6f80237f-e924-4213-a125-4bf8622376cf,7SAYGAEE1NF360981,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0053,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
e5f2fe18-7b43-4f73-b9f8-d63fee7a5da8,5YJYGAEE7MF194218,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,360C,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
ef951edd-6092-49c5-8bf6-79daf68c0d49,7SAYGAEE0NF361037,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0051,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
78c938e7-3e1e-422a-83a6-a66ebb64ad42,7SAYGAEE9NF361053,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0070,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
09b8eff9-a22e-4f6e-a7b8-8e06b168911e,7SAYGAEE9NF361439,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0071,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
a53f0cf1-6562-4cb9-bf3d-a7b9ea96569a,7SAYGAEE7NF361486,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0065,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
c7f0781d-0d13-4cc7-97cb-0a6fe0ab8398,7SAYGAEE2NF361895,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0054,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
9c643c8e-e5a3-49b3-9e9f-238dfed61283,5YJYGAEE7MF190511,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,361C,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
5f30e8ea-2676-4507-8ad7-35ab80c2fe14,7SAYGAEE0NF362799,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0052,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
d032a46e-fa43-48c5-8606-939b8144ef2d,7SAYGAEE0NF362995,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0092,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
05578f90-684d-40c3-92a8-1402947e869a,5YJYGAEE6MF191049,,Tesla,Tesla,Tesla,Model Y,2021,Long Range,362C,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
9441784c-d67c-4411-86e5-1f28e70ea13b,7SAYGDEE0NF363016,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0103,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
fa1a3189-df21-42e1-bd3c-95f9ce7e77c3,7SAYGDEE0NF363033,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0097,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
29ca71c7-4b5e-46f3-b688-713e583a0a11,7SAYGDEE0NF363047,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0093,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
30e25cd5-ea3c-421e-88a4-7cbca6cfd35f,7SAYGDEE0NF363226,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0098,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
743df5d1-b5c9-4d19-8f60-a8601879d3f1,7SAYGDEE0NF363257,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0096,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
553cadad-f887-4649-985d-2f269d2fbb52,7SAYGDEE0NF363260,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0105,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
11b92f24-9b9d-454b-908a-af21889035f6,7SAYGDEE0NF363386,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0094,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
3cd00f2f-3048-4405-878c-8b64c38c60f3,7SAYGDEE0NF363422,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0102,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
26b2a0f8-a9cc-44e8-8e45-8992e9caf487,7SAYGDEE0NF363601,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0099,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
5207b2d7-29c1-40de-bc2f-5cafb8d5f565,7SAYGDEE0NF363713,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0104,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
2a3d88b9-3c24-4fcc-84f9-1e19dc4cd1f2,7SAYGDEE0NF363761,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0095,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
a4af4410-078a-4d83-bff1-5ea4dfecfbe3,7SAYGDEE0NF363789,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0101,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
f93f4a6b-0544-4688-a70f-38c833fd45a9,7SAYGAEE2NF363808,,Tesla,Tesla,Tesla,Model Y,2022,Long Range,RV 0110,ENROLLED,07:58.4,8fddb9fb-5709-472d-9c02-dce9baf31b6a,Revel Transit Inc,,,
